"Autor","Familia ","Genero","specie "
"Cirilo Umaña","Riodinidae","Melanis","sanguinea"
"Cirilo Umaña","Erebidae","Gonodonta","bidens"
"Cirilo Umaña","Riodinidae","Eurybia","lycisca"
"Cirilo Umaña","Noctuidae","Mylon","lassia"
"Cirilo Umaña","Papilionidae","Battus","ingenuus"
"Cirilo Umaña","Hesperiidae","Quadrus ","cerialis "
"Cirilo Umaña","Lycaenidae","Pseudolycaena","damo"
"Cirilo Umaña","Geometridae","Smicropus","intercepta"
"Cirilo Umaña","Depressariidae","Stenoma","Janzen07"
"Cirilo Umaña","Hesperiidae","Antigonus"," erosus "
"Cirilo Umaña","Riodinidae","Napaea","eucharila"
"Cirilo Umaña","Riodinidae","Thisbe","irenea"
"Cirilo Umaña","Crambidae","Palpita","flegia"
"Cirilo Umaña","Hesperiidae","Creonpyge","creon"
"Cirilo Umaña","Noctuidae","Dyops","Poole04"
"Cirilo Umaña","Hesperiidae","Pyrgus","oileus"
"Cirilo Umaña","Erebidae","Opharus","consimilis"
"Cirilo Umaña","Nymphalidae","Heliconius","Zuleika"
"Cirilo Umaña","Crambidae","Dhiaphania","glauculalis"
"Cirilo Umaña","Hesperiidae","Heliopetes","arsalte"
"Cirilo Umaña","Depressariidae","Antaeotricha","fascicularis"
"Cirilo Umaña","Notodontidae","Tithraustes","noctilucesICG02"
"Cirilo Umaña","Erebidae","Correbia","undulata"
"Cirilo Umaña","Hesperiidae","Cogia","calchas"
"Cirilo Umaña","Noctuidae","Erocha","leucotelus"
"Dinia Martinez","Hesperiidae","Talides","sergestus"
"Dinia Martinez","Sphingidae","Eumorpha","obliquus"
"Dinia Martinez","nymphalidae","Adelpha","aiellae"
"Dinia Martinez","Lasiocampidae","Titya ","synoecura"
"Dinia Martinez","Hesperiidae","Yanguna","cosyra"
"Dinia Martinez","Riodinidae","Menander","pretus"
"Dinia Martinez","Saturnidae","Adeloneivaia","jason"
"Dinia Martinez","Elachistidae","Gonioterma ","anna "
"Dinia Martinez","Hesperiidae","Carrhenes","calidius"
"Dinia Martinez","Riodinidae","Ancyluris ","inca "
"Dinia Martinez","Nymphalidae","Brassolis","isthmia"
"Dinia Martinez","Papilionidae,","Mimoides","clusoculis"
"Dinia Martinez","Limacodidae","Venadicodia ","caneti"
"Dinia Martinez","Depressariidae","Cerconota","recurvella"
"Dinia Martinez","Notodontidae","Farigia","montana"
"Dinia Martinez","Hesperiidae","Dyscophellus","phraxanor"
"Dinia Martinez","Hesperiidae","Dubiella","belpa"
"Dinia Martinez","Hesperiidae","Orses","cynisca"
"Dinia Martinez","Erebidae","Pachydota","saduca"
"Dinia Martinez","Nymphalidae","Mechanitis ","isthmia "
"Dinia Martinez","Notodontidae","Naprepa","cyllota "
"Dinia Martinez","Nymphalidae","Taygetis ","rufomarginata"
"Dinia Martinez","Riodinidae","Euselasia","chrysippe"
"Dinia Martinez","Noctuidae","Argyrosticta"," bellinita"
"Dinia Martinez","Noctuidae","Argyrosticta","vauaurea"
"Dinia Martinez","Geometridae","Cyclomia","disparilis"
"Dinia Martinez","Nymphalidae","Consul ","fabius"
"Dinia Martinez","Noctuidae","Hypocala","andremona"
"Dinia Martinez","Hesperiidae","Telemiades ","nicomedes "
"Dinia Martinez","Hesperiidae","Chioides","catillus"
"Dinia Martinez","bombycidae","Anticla ","antica "
"Dinia Martinez","Sphingidae","Manduca","florestan"
"Dinia Martinez","Mimalionidae","Druentica","inscita"
"Dinia Martinez","Hesperiidae","Astraptes ","audax "
"Dinia Martinez","Lasiocampidae","Euglyphis ","rundalla"
"Dinia Martinez","Notodontidae","Tagela","cayuga"
"Dinia Martinez","Papilionidae,","Parides","childrenae"
"Dinia Martinez","Erebidae","Phaeoblemma","dares"
"Dinia Martinez","Nymphalidae","Dircenna","klugii"
"Dinia Martinez","Saturnidae","Hylesia","rufipes"
"Dinia Martinez","Hesperiidae","Elbella","scylla"
"Dinia Martinez","hesperiidae","Pyrrhopyge","zenodorus"
"Dinia Martinez","Crambidae","Piletosoma","thialis"
"Dinia Martinez","Erebidae","Sarsina","purpurascens"
"Dinia Martinez","Notodontidae","Crinodes","besckei"
"Dinia Martinez","Dalceridae","Minacraga","plata"
"Dinia Martinez","Saturniidae","Pseudodirphia","regia"
"Dinia Martinez","Hesperiidae","Parphorus","decora"
"Dinia Martinez","Hesperiidae","Proteides","mercurius"
"Dinia Martinez","Hesperiidae","Urbanus","teleus"
"Dinia Martinez","Hesperiidae","Spathilepia","clonius"
"Dinia Martinez","Lycaenidae","Theritas ","mavors "
"Dinia Martinez","Hesperiidae","Xenophanes","tryxus"
"Dinia Martinez","Sphingidae","Xylophanes ","Pluto"
"Dinia Martinez","Erebidae","Eloria","onaba"
"Dinia Martinez","Notodontidae","Tithraustes","lambertae"
"Dinia Martinez","Hesperiidae","Quinta","cannae"
"Dinia Martinez","Nolidae","Diphthera","festiva"
"Dinia Martinez","Apatelolidae","Zanola","fieldi"
"Dinia Martinez","Nymphalidae","Libytheana","carinenta"
"Dinia Martinez","Geometridae","Epimecis","conjugaria"
"Dinia Martinez","Hesperiidae","Pellicia","dimidiata"
"Dinia Martinez","Riodinidae","Euselasia","amphidecta"
"Dinia Martinez","Erebidae","Eucereon","aurantiaca"
"Dinia Martinez","Riodinidae","Caria","rhacotis"
"Dinia Martinez","Geometridae","Tachyphyle","hamata"
"Dinia Martinez","Nymphalidae","Chloreuptychia","arnaca"
"Dinia Martinez","Notodontidae","Antiopha","multilinea"
"Dinia Martinez","Lycaenidae","Nicolaea ","ophia"
"Dinia Martinez","Notodontidae","Calledema","argentea"
"Dinia Martinez","Oecophoridae","Struthoscelis","christianafigueresae"
"Dinia Martinez","Nymphalidae","Hamadryas","saurites"
"Dinia Martinez","Noctuidae","Argyrosticta","aurifundens"
"Dinia Martinez","Riodinidae","Pirascca","tyriotes "
"Dinia Martinez","Geometridae","Ergavia","carinenta "
"Dinia Martinez","Mimalionidae","Cicinnus","camarinus"
"Petrona Rios","Nymphalidae","Prepona","philatelica"
"Pablo Umaña","Nymphalidae","Siderone","galanthis"
"Dinia Martinez","Geometridae","Nematocampa","completa"
"Dinia Martinez","Limacodidae","Phobetron","hipparchia"
"Dinia Martinez","Notodontidae","Xylodonta","markvanputteni"
"Dunia Garcia","Pieridae","Phoebis ","virgo"
"Dunia Garcia","Erebidae","Napata","lelex"
"Dunia Garcia","Hesperiidae","Telemiades","chrysorrhoea"
"Dunia Garcia","Hesperiidae","Astraptes","YESENN"
"Dunia Garcia","Pieridae","Ascia "," monuste"
"Dunia Garcia","Mimalionidae","Psychocampa","prominens"
"Dunia Garcia","Mimalionidae","Lacosoma","Valera"
"Dunia Garcia","Mimalionidae","Trogoptera","Janzen02"
"Dunia Garcia","Mimalionidae","Cicinnus","Janzen07"
"Dunia Garcia","Hesperiidae","Venada ","nevada"
"Dunia Garcia","Limacodidae","Acharia ","nesea"
"Dunia Garcia","Saturnidae","Copaxa","rufinans"
"Dunia Garcia","Sphingidae","Eumorpha","fasciatus"
"Dunia Garcia","Notodontidae","Dicentria","drucei"
"Dunia Garcia","Lasiocampidae","Euglyphis","mariaDHJ03"
"Dunia Garcia","Notodontidae","Antaea ","lichyi "
"Dunia Garcia","Notodontidae","Calledema","plusia"
"Dunia Garcia","Notodontidae","Nystalea","aequipars"
"Dunia Garcia","Geometridae","Psilosetia"," pura"
"Dunia Garcia","Geometridae","Acronyctodes cautama","cautama"
"Dunia Garcia","Geometridae","Macrotes","commatica"
"Dunia Garcia","Erebidae"," Oraesia","serpens"
"Dunia Garcia","Geometridae","Hagnagora ","mortipax "
"Dunia Garcia","Hesperiidae","Vettius","tertianus"
"Dunia Garcia","Erebidae","Hypercompe","laeta"
"Dunia Garcia","Hesperiidae","Ridens","panche"
"Dunia Garcia","Pterophoridae","","pteroJanzen01 Janzen14"
"Dunia Garcia","Pieridae","Dismorphia","lubina"
"Dunia Garcia","Geometridae","Macaria","pernicata"
"Dunia Garcia","Nymphalidae","Tithorea"," pinthias"
"Dunia Garcia","Noctuidae","Cropia","isidora"
"Dunia Garcia","Notodontidae","Didugua","argentiline"
"Dunia Garcia","Notodontidae","Didugua","beckeri"
"Dunia Garcia","Hesperiidae","Doberes"," anticus"
"Dunia Garcia","Geometridae","Nemoria","aturia"
"Dunia Garcia","Nymphalidae","Tegosa"," anieta"
"Duvalier Briceño","Nymphalidae","Morpho","amathonte"
"Duvalier Briceño","Hesperiidae","Neoxeniades","Burns02"
"Duvalier Briceño","Sphingidae","Xylophanes ","chiron"
"Duvalier Briceño","Sphingidae","Eumorpha","satellitia"
"Duvalier Briceño","Saturnidae","Caio","championi"
"Duvalier Briceño","Nymphalidae","Opsiphanes","bogotanus"
"Duvalier Briceño","Nymphalidae","Opsiphanes","quiteria"
"Duvalier Briceño","Sphingidae","Xylophanes"," cyrene"
"Duvalier Briceño","Sphingidae","Xylophanes","loelia"
"Duvalier Briceño","Sphingidae","Xylophanes","ceratomioides"
"Duvalier Briceño","Hesperiidae","Cephise","aelius"
"Duvalier Briceño","Sphingidae","Xylophanes","adalia"
"Duvalier Briceño","sphingidae","Xylophanes","tersa"
"Duvalier Briceño","Nymphalidae","Opsiphanes","zelotes"
"Duvalier Briceño","Sphingidae","Nyceryx","coffaeae"
"Duvalier Briceño","Hesperiidae","Telemiades","megallus"
"Duvalier Briceño","Hesperiidae","Dyscophellus","Burns01"
"Duvalier Briceño","Hesperiidae","Telemiades","oiclus"
