"Autor","Familia ","Genero","specie "
"Osvaldo Espinoza","Crambidae","Syllepte","belialis"
"Osvaldo Espinoza","Castniidae","Amauta","procera "
"Osvaldo Espinoza","Hesperiidae","Urbanus","segnestami"
"Adrian Guadamuz","Malvaceae","Luehea","candida "
"Adrian Guadamuz","Malvaceae","Luehea ","speciosa"
"Adrian Guadamuz","Proteaceae","Roupala ","montana"
"Roberto Espinoza","Fagaceae","Quercus","corrugata"
"Roberto Espinoza","Caesalpiniacea","Hymenaea","courbaril"
"Jorge Hernández","Mimosaceae","Samanea","saman"
"Jorge Hernández","Myrtaceae","Psidium","guajava"
"Jorge Hernández","Fabaceae","Platymiscium","Parviflorum"
"Jorge Hernández","Bignoniaceae","Jacaranda","copaia"
"Jorge Hernández","Vochysiaceae","Vochysia ","guatemalensis "
"Jorge Hernández","Malpighiaceae","Byrsonima","crassifolia"
"Jorge Hernández","Asteraceae","Sinclairia","polyantha"
"Jorge Hernández","Ochnaceae","Cespedesia","spathulata"
"Jorge Hernández","Bignoniaceae","Handroanthus ","ochraceae "
"Jorge Hernández","Bignoniaceae","Handroanthus ","guayacan"
"Jorge Hernández","Malvaceae","Heliocarpus","appendiculatus"
"Jorge Hernández","Fabaceae","Dioclea","malacocarpa"
"Jorge Hernández","Lauraceae","Nectandra ","umbrosa"
"Jorge Hernández","Bignoniaceae","Tabebuia","rosea"
"Jorge Hernández","Verbenaceae","Lantana ","camara "
"Jorge Hernández","Boraginaceae","Cordia","megalantha"
"Jorge Hernández","Lamiaceae","Vitex","cooperi"
"Jorge Hernández","Annonaceae","Guatteria","verrucosa"
"Jorge Hernández","Erebidae","Gonodonta","indentata "
"Jorge Hernández","Passifloraceae","Passiflora","edulis"
"Jorge Hernández","Ehretiaceae","Bourreria","costarricensis"
"Jorge Hernández","Melastomataceae","Conostegia"," xalapensis"
"Jorge Hernández","Fabaceae","Inga"," spectabilis"
"Jorge Hernández","Dilleniaceae","Tetracera","hydrophila"
"Jorge Hernández","Fabaceae","Inga","edulis"
"Jorge Hernández","Marcgraviaceae","Souroubea","sympetala"
"Jorge Hernández","Schlegeliaceae","Schlegelia"," fastigiata"
"Jorge Hernández","Bignoniaceae","Arrabidaea","verrucosa"
"Jorge Hernández","Bignoniaceae","Callichlamys","latifolia"
"Jorge Hernández","Rubiaceae","Psychotria","elata"
"Gloria Sihezar","Erebidae","Cacostatia","sapphira "
"Elda Araya","Noctuidae","Cropia"," rivulosa"
"Angel Hernández","Notodontidae","Truncaptera","guatemalensis"
"Angel Hernández","Sphingidae","Perigonia","lusca"
"Minor Carmona","Erebidae","Dysschema","panamensis"
"Jóse Pérez","Noctuidae","Heterochroma","amphion"
"Lucía Ríos","Geometridae","Oenoptila","plagiata"
"Duvalier","Bombycidae","Colla","rhodope"
"Lucía Ríos","Erebidae","Bertholdia","albipuncta "
"Elieth Cantillano","Erebidae","Lophocampa","citrina"
"Brigitte Vilchez","Pieridae","Phoebis","marcellina"
"Jorge Hernández","Rubiaceae","Psychotria","jimenezii "
"Petrona Ríos","Myrtaceae","Myrcia","splendens"
"Cirilo Umaña","Crambidae","Conchylodes","arcifera"
"Ana Cordoba","Noctuidae","Seirocastnia"," tribuna"
"Manuel Ríos","Hesperiidae","Justinia","norda "
"Manuel Ríos","Hesperiidae","Cynea","Burns02"
"Petrona Ríos","Erythroxylaceae","Erythrohylum","macrophylum"
"Petrona Ríos","Erebidae","Antiblemma","concinnula"
"Jóse Cortéz","Crambidae","Phostria","latiapicalis"
"Ricardo Calero","Erebidae","Horama","plumipes"
"Freddy Quesada","Nymphalidae","Memphis ","forreri"
"Keiner Aragon","Hesperiidae","Nyctelius","nyctelius"
"Jóse Pérez","Limacodidae","Semyra","finita"
"Brigitte Vilchez","Saturniidae","Periga","costaricana"
"Calixto Moraga","Sphingidae","Aellopos"," clavipes"
"Calixto Moraga","Sphingidae","Cocytius","lucifer"
"Dunia García ","Sphingidae","Pachylia","syces"
"Gloria Sihezar","Hesperiidae","Mysoria","ambigua "
"Pablo Umaña","Notodontidae","Elymiotis","morana"
"Minor Carmona","Limacodidae","Epiperola","paida"
"Duvalier","Bombycidae","Olceclostera","irrorata"
"Jorge Hernández","Malvaceae","Trichospermum","galeottii "
"Dinia Martínez","Sphingidae","Unzela","pronoe "
"Dinia Martínez","Erebidae","Athyrma","adjutrix"
"Dinia Martínez","Apatelodidae","Olceclostera","indentata"
"Ricardo Calero","Noctuidae","Dyptergia","ordinarius"
"Ricardo Calero","Bombycidae","Colla","coelestis"
"Jóse Cortéz","Crambidae","Conchylodes","nolckenialis"
"Duvalier Briceño","Saturniidae","Paradirphia","winifredae"
"Dinia Martínez","Hedylidae","Macrosoma","heliconiaria "
"Ricardo Calero","Noctuidae","Heterodelta","nea"
"Elieth Cantillano","Erebidae","Orgyia","povera"
"Lucía Ríos","Riodinidae","Theope","eudocia"
"Ana Cordoba","Erebidae","Antapistis","Poole02 "
"Cirilo Umaña","Hesperiidae","Timochreon","satyrus"
"","Sphingidae","Enyo","cavider"
"Gloria Sihezar","Dalceridae","Acraga ","hamaca "
"Elda Araya","Erebidae","Ammalo","helops"
"Elda Araya","Erebidae","Anomis","directilinea"
"Elda Araya","Erebidae","Mimophisma","delunaris"
"Keiner Aragon","Hesperiidae","Carystoides","basoches"
"Freddy Quesada","Nymphalidae","Memphis","boisduvali "
"Keiner Aragon","Geometridae","Prochoerodes","striata"
"Keiner Aragon","Erebidae","Cecharismena","josealis"
"Petrona Ríos","Erebidae","Antiblemma","penelope"
"Minor Carmona","Erebidae","Cosmosoma","orathidia"
"Carolinia Cano","Hesperiidae","Anastrus","sempiternus"
"Pablo Umaña","Saturniidae","Hyperchiria","sanjuensis"
"Angel Hernández","Apatelodidae","Ephoria","lybia"
"Jóse Pérez","Erebidae","Halysidota","pectenella"
"Brigitte Vilchez","Thyrididae","Rhodoneura","terminalis"
"Jóse Pérez","Notodontidae","Apela","neobule"
"Elieth Cantillano","Erebidae","Eucereon","centrale"
"Jorge Hernández","Asteraceae","Neurolaena","lobata "
"Lucía Ríos","Saturniidae","Copiopteryx","semiramis"
"Manuel Ríos","Lasiocampidae","Prorifrons","antonia"
"Cirilo Umaña","Notodontidae","Dottia"," viridifusca"
"Cirilo Umaña","Lycaenidae"," Arawacus","sito"
"Carolinia Cano","Saturniidae","Hylesia","aeneides "
"Dunia García ","Erebidae","Hypercompe","icasia "
"Ana Cordoba","Erebidae","Ceromacra","Poole02"
"Manuel Pereira","Noctuidae","Tiracola","grandirena"
"Manuel Pereira","Noctuidae","Neophaenis","respondens"
"Freddy Quesada","Nymphalidae","Fountainea","eurypyle"
"Gloria Sihezar","Riodinidae","Hades","noctula"
"Dinia Martínez","Megalopygidae","Megalopyge","dyari"
"Dinia Martínez","Aididae","Aidos","perfusa admiranda"
"Harry Ramírez","Erebidae","Eloria","torrida"
"Petrona Ríos","Nymphalidae","Adelpha","marcia"
"Angel Hernández","Pieridae","Glutophrissa","tenuis"
"Petrona Ríos","Erebidae","Antiblemma","lothos"
"Minor Carmona","Megalopygidae","Mesoscia","unifasciata"
"Manuel Ríos","Nymphalidae","Hyposcada","virginiana"
"Manuel Ríos","Nymphalidae","Hyposcada","evanides"
"Ana Cordoba","Geometridae","Oxydia","bilineaDHJ02"
"Jorge Hernández","Myristicaceae","Virola","Koschnyi"
"Pablo Umaña","Erebidae","Lophocampa","modesta"
"Duvalier Briceño","Saturniidae","Therinia","transversaria"
"Elieth Cantillano","Erebidae","Gymnelia","jansonis"
"Petrona Ríos","Erebidae","Antiblemma","Poole25"
"Lucía Ríos","Erebidae","Coenipeta"," bibitrix "
"Freddy Quesada","Nymphalidae","Fountainea","chrysophane"
"Duvalier Briceño","Hesperiidae","Synale","cynaxa"
"Gloria Sihezar","Saturniidae"," Dirphia","avirosensis"
"Calixto Moraga","Sphingidae","Eumorpha"," vitis"
"Calixto Moraga","Sphingidae","Eumorpha","megaeacus"
"Calixto Moraga","Sphingidae","Hemeroplanes","ornatus"
"Brigitte Vilchez","Hesperiidae","Thracides","phidon"
"Elda Araya","Erebidae","Helia","calligramma"
"Elda Araya","Erebidae","Metria","celia"
"Jóse Cortéz","Erebidae","Acanthodica","albiplena"
"Dinia Martínez","Lasiocampidae","Euglyphis","jessiehillae"
"Dinia Martínez","Limacodidae","Vipsophobetron","davisi"
"José Pérez","Erebidae","Euclystis","sublignaris "
"Dinia Martínez","Euteliidae","Nagara","vitrea"
"Petrona Ríos","Erebidae","Antiblemma","Poole12"
"Keiner Aragon","Tortricidae","Aesiocopa","necrofolia"
"Keiner Aragon","Tortricidae","Episimus","ortygia"
"Keiner Aragon","Tortricidae","Anacrusis","ellensatterleeae"
"Lucía Ríos","Erebidae","Eucereon","pilati"
"Angel Hernández","Riodinidae","Calydna","sturnula"
"Carolinia Cano","Noctuidae","Concana","permixta"
"Minor Carmona","Mimallonidae","Menevia ","ostia"
"Dunia García ","Hesperiidae","Psoralis","Janzen38"
"Dunia García ","Hesperiidae","Falga ","sciras"
"Elieth Cantillano","Euteliidae","Paectes ","fuscescens"
"Roster Moraga","Erebidae","Ramphia","albizona"
"Jorge Hernández","Piptocarpha","poeppigiana ","Asteraceae"
"Petrona Ríos","Erebidae","Antiblemma","anthea"
"Manuel Ríos","Noctuidae","Perigea","agnonia"
"Ana Cordoba","Geometridae","Glena","Janzen05"
"Petrona Ríos","Erebidae","Antiblemma","agnita"
"Manuel Ríos","Geometridae","Herbita"," medama"
"Manuel Ríos","Erebidae","Letis","buteo"
"Elieth Cantillano","Euteliidae","Paectes"," fuscescens"
"Minor Carmona","Geometridae","Eois"," dibalpha"
"Angel Hernández","Papilionidade","Protographium","philolaus"
"Angel Hernández","Nymphalidae","Archaeoprepona","gulina"
"Cirilo Umaña","Erebidae","Azeta","ceramina"
"Cirilo Umaña","Hesperiidae","Cycloglypha","thrasibulus"
"Freddy Quesada","Erebidae","Gorgone","integrans"
"Ricardo Calero","Euteliidae","Paectes","devincta"
"Dunia García ","Pieridae","Eurema","xanthochlor"
"Duvalier Briceño","Nymphalidae","Catoblepia","championi"
"Gloria Sihezar","Hesperiidae","Polygonus","leo"
"Carolinia Cano","Nymphalidae","Memphis","aureola"
"Jorge Hernández","Clethraceae","Clethra","latana"
"Jóse Cortéz","Notodontidae","Drugera","mimicaDHJ01"
"Petrona Ríos","Erebidae","Antiblemma","Poole34"
"Elieth Cantillano","Riodinidae","Emesis","cypria"
"Ana Cordoba","Geometridae","Nepheloleuca","illiturata"
"Roster Moraga","Erebidae","Ascalapha","odorata"
"Elda Araya","Erebidae","Cyclopteryx","niveinotata "
"Angel Hernández","Lycaenidae","Brangas","neora"
"Lucía Ríos","Erebidae","Lophocampa","catenulata"
"Ricardo Calero","Nymphalidae","Siproeta","epaphus"
"Elda Araya","Erebidae","Macrodes ","cynara"
"Carolina cano","Noctuidae","Stauropides","persimilis"
"Petrona Ríos","Nymphalidae","Adelpha","sophax "
"Brigitte Vilchez","Noctuidae","Concana","intricata"
"Jorge Hernández","Melastomataceae","Miconia","affinis "
"Duvalier Briceño","Hesperiidae","Anatrytone","mella"
"Freddy Quesada","Geometridae","Nemoria","anae"
"Petrona Ríos","Nymphalidae","Adelpha","massilia"
"Gloria Sihezar","Sphingidae","Lintneria","merops"
"Jóse Pérez","Lycaenidae","Jantheca","cydonia"
"Jóse Pérez","Geometridae","Eusarca","minucia"
"Brigitte Vilchez","Geometridae","Epimecis","plumbilinea"
"Angel Hernández","Noctuidae","Perigea","drusilla"
"Elieth Cantillano","Erebidae","Turuptiana","obliqua"
"Lucía Ríos","Notodontidae","Nebulosa","erymas"
"Ana Cordoba","Saturniidae","Oxytenis","nubila"
"Gloria Sihezar","Sphingidae","Kloneus","babayaga"
"Carolina cano","Erebidae","Eudocima","apta"
"Minor Carmona","Psychidae","Oiketicus ","kirbyi"
"Ricardo Calero","Lasiocampidae","Euglyphis","lepta"
"Jorge Hernández","Convolvulaceae","Ipomoea","phillomega"
"Roster Moraga","Erebidae","Hemeroblemma","leontia"
"Pablo Umaña","Nymphalidae","Siproeta","plagiata"
"Petrona Ríos","Erebidae","Antiblemma","pira"
"Pablo Umaña","Hesperiidae","Niconiades","gladys"
"Pablo Umaña","Hesperiidae","Anthoptus","epictetus"
